distance,noOfPeople,ac,food,room,category,month,dayType,temperature,humidity,pressure,windSpeed,windDirection,precipitation,latitude,longitude,finalPrice
18.6,5,1,0,0,Weekend,4,Weekday,31,47,996.5,6.1,90,0,26.8712,80.9121,1035
247,6,1,0,1,Cultural,4,Weekday,26,90,1005,16,43,0,26.54112518102858,80.74932463685847,5875
280,3,0,0,0,Adventure,4,Weekday,38,33,992,19,232,5,26.709390642324774,80.11073182013664,2949
498,4,0,0,1,Adventure,4,Weekday,20,67,1000,11,8,10,26.196200745249033,80.47992058350657,6678
371,3,1,0,1,Adventure,4,Weekday,38,58,1003,21,114,4,26.168241465302373,80.17626051148517,6457
72,5,1,0,0,Weekend,4,Weekday,15,64,998,19,80,0,26.867064925991247,80.05914925795257,3041
343,9,1,1,1,Cultural,4,Weekday,29,37,1008,9,26,0,26.0695108669426,80.53907477223595,7363
447,4,1,0,0,Adventure,4,Weekday,34,40,999,4,74,0,26.55015125023166,80.85979399311066,5315
323,6,1,0,1,Adventure,4,Weekday,25,63,997,7,172,0,26.38204557257151,80.74803725572382,5892
44,8,0,0,1,Weekend,4,Weekday,38,46,1002,23,266,0,26.244501368968994,80.44060014926991,4199
439,5,0,0,0,Adventure,4,Weekday,37,61,1019,14,122,0,26.273892730431747,80.75644304299774,5151
376,6,0,0,0,Weekend,4,Weekday,34,84,1006,16,285,5,26.814177552476686,80.50522651847258,4628
451,2,1,0,0,Adventure,4,Weekday,38,67,990,4,292,0,26.805051607770725,80.77962247429969,5449
272,2,0,1,0,Weekend,4,Weekday,21,68,1000,5,352,0,26.257091259078297,80.32202188730908,4058
141,9,0,0,0,Weekend,4,Weekday,16,50,999,16,173,0,26.627028624027467,80.95009539874472,3698
410,4,1,1,0,Adventure,4,Weekday,16,51,1017,5,111,0,26.02442155623392,80.22269030442544,5492
144,5,1,1,1,Cultural,4,Weekday,40,79,1016,25,214,0,26.662687143444053,80.89594016918396,5601
323,1,0,1,1,Cultural,4,Weekday,15,81,1015,13,90,1,26.34897612300299,80.93594404482221,5301
444,1,1,0,1,Adventure,4,Weekday,18,45,1002,21,319,0,26.389900537735063,80.47014372013535,6305
298,9,0,1,0,Cultural,4,Weekday,16,33,1020,9,317,0,26.993782587333932,80.2268139518485,5880
334,3,1,1,0,Adventure,4,Weekday,28,62,995,25,72,0,26.761971567220545,80.55096905972715,4818
121,4,1,0,0,Adventure,4,Weekday,29,90,1004,5,133,8,26.2869167564692,80.30478089810417,3209
375,9,1,1,1,Cultural,4,Weekday,28,66,999,4,86,0,26.676126698270206,80.27674182480543,7893
93,1,0,0,0,Weekend,4,Weekday,19,55,1019,12,231,0,26.159546158001575,80.64975978846681,1791
419,5,0,0,1,Weekend,4,Weekday,40,85,1009,14,52,7,26.233007484752697,80.23808713676884,6742
132,4,1,0,0,Cultural,4,Weekday,34,70,1020,21,100,0,26.078637630032127,80.07532740625138,3087
366,9,1,0,1,Weekend,4,Weekday,21,39,994,6,9,0,26.372760539581996,80.12823416916774,7536
72,8,1,0,0,Cultural,4,Weekday,22,55,1015,2,335,10,26.489186814434746,80.200420933481,3129
212,2,1,1,0,Adventure,4,Weekday,21,70,994,10,7,0,26.12296098209631,80.3780143408137,3672
247,7,1,1,1,Cultural,4,Weekday,34,42,994,18,63,0,26.438282297274522,80.88052352476996,6383
168,2,1,1,1,Weekend,4,Weekday,23,80,1002,8,290,0,26.379428343933732,80.18403223461402,4911
175,1,1,1,0,Adventure,4,Weekday,40,84,1001,20,241,0,26.380547205506552,80.76288714888015,3430
455,6,1,0,0,Weekend,4,Weekday,39,79,1015,19,317,0,26.937813573968107,80.42312037863726,5845
453,6,1,0,0,Weekend,4,Weekday,37,49,1004,24,94,0,26.544011351173356,80.23872918226661,5667
441,6,0,0,1,Cultural,4,Weekday,32,89,994,15,69,2,26.04789780021254,80.49451690159937,6276
486,3,1,1,1,Weekend,4,Weekday,20,70,999,6,216,0,26.595542868319008,80.46086970297861,7396
165,7,0,1,1,Cultural,4,Weekday,37,36,994,19,197,0,26.716491738031905,80.86340797046098,5408
